period	age	exposure	exposure level	outcome	HR	lci	uci
0	0	kids_cat4	1	covid_tpp_prob	1.21	1.19	1.22	9071263
0	0	kids_cat4	2	covid_tpp_prob	1.17	1.15	1.19	9071263
0	0	kids_cat4	3	covid_tpp_prob	1.22	1.20	1.24	9071263
0	0	kids_cat4	1	covidadmission	1.13	1.06	1.21	9071220
0	0	kids_cat4	2	covidadmission	1.15	1.07	1.23	9071220
0	0	kids_cat4	3	covidadmission	1.16	1.07	1.25	9071220
0	0	kids_cat4	1	covid_death	0.82	0.67	1.00	9071263
0	0	kids_cat4	2	covid_death	0.82	0.67	1.01	9071263
0	0	kids_cat4	3	covid_death	0.72	0.54	0.95	9071263
0	1	kids_cat4	1	covid_tpp_prob	1.23	1.15	1.31	2725551
0	1	kids_cat4	2	covid_tpp_prob	1.15	1.06	1.24	2725551
0	1	kids_cat4	3	covid_tpp_prob	1.17	1.06	1.30	2725551
0	1	kids_cat4	1	covidadmission	1.24	1.09	1.42	2725496
0	1	kids_cat4	2	covidadmission	1.20	1.03	1.40	2725496
0	1	kids_cat4	3	covidadmission	1.09	0.89	1.34	2725496
0	1	kids_cat4	1	covid_death	1.10	0.91	1.32	2725551
0	1	kids_cat4	2	covid_death	0.95	0.76	1.18	2725551
0	1	kids_cat4	3	covid_death	0.96	0.71	1.28	2725551
1	0	kids_cat4	1	covid_tpp_prob	1.43	1.39	1.48	8712150
1	0	kids_cat4	2	covid_tpp_prob	1.31	1.25	1.36	8712150
1	0	kids_cat4	3	covid_tpp_prob	1.62	1.56	1.69	8712150
1	0	kids_cat4	1	covidadmission	1.82	1.54	2.15	8999262
1	0	kids_cat4	2	covidadmission	1.29	1.05	1.59	8999262
1	0	kids_cat4	3	covidadmission	1.85	1.49	2.30	8999262
1	0	kids_cat4	1	covid_death	1.42	0.86	2.33	9008708
1	0	kids_cat4	2	covid_death	1.14	0.68	1.91	9008708
1	0	kids_cat4	3	covid_death	0.82	0.37	1.82	9008708
1	1	kids_cat4	1	covid_tpp_prob	1.55	1.25	1.93	2655994
1	1	kids_cat4	2	covid_tpp_prob	1.42	1.10	1.84	2655994
1	1	kids_cat4	3	covid_tpp_prob	1.96	1.47	2.61	2655994
1	1	kids_cat4	1	covidadmission	1.08	0.60	1.94	2686611
1	1	kids_cat4	2	covidadmission	2.04	1.21	3.43	2686611
1	1	kids_cat4	3	covidadmission	2.31	1.29	4.13	2686611
1	1	kids_cat4	1	covid_death	0.80	0.39	1.64	2692878
1	1	kids_cat4	2	covid_death	2.06	1.20	3.54	2692878
1	1	kids_cat4	3	covid_death	1.64	0.75	3.60	2692878
2	0	kids_cat4	1	covid_tpp_prob	1.09	1.04	1.16	8583758
2	0	kids_cat4	2	covid_tpp_prob	1.29	1.21	1.39	8583758
2	0	kids_cat4	3	covid_tpp_prob	1.39	1.30	1.49	8583758
2	0	kids_cat4	1	covidadmission	2.10	1.13	3.92	8900309
2	0	kids_cat4	2	covidadmission	2.40	1.15	5.01	8900309
2	0	kids_cat4	3	covidadmission	1.79	0.82	3.92	8900309
2	0	kids_cat4	1	covid_death	0.00	0.00	0.00	8910592
2	0	kids_cat4	2	covid_death	5.39	1.62	17.86	8910592
2	0	kids_cat4	3	covid_death	1.87	0.29	11.86	8910592
2	1	kids_cat4	1	covid_tpp_prob	1.50	0.97	2.33	2626600
2	1	kids_cat4	2	covid_tpp_prob	1.50	0.88	2.56	2626600
2	1	kids_cat4	3	covid_tpp_prob	1.73	0.98	3.06	2626600
2	1	kids_cat4	1	covidadmission	0.00	0.00	0.00	2658779
2	1	kids_cat4	2	covidadmission	1.41	0.15	13.30	2658779
2	1	kids_cat4	3	covidadmission	0.00	   .	   .	2658779
2	1	kids_cat4	1	covid_death	0.00	0.00	0.00	2664838
2	1	kids_cat4	2	covid_death	1.04	0.12	8.69	2664838
2	1	kids_cat4	3	covid_death	2.12	0.43	10.49	2664838

