age	exposure	exposure level	outcome	int_type	int_level	events	person_years	rate	HR	lci	uci	pval
0	kids_cat4	0	covid_tpp_prob	vaccine	1	238268	   2239686	10638.46	1.00	   .	   .	   .
0	kids_cat4	0	covid_tpp_prob	vaccine	2	62513	    884527	7067.39	1.21	1.19	1.22	
0	kids_cat4	0	covid_tpp_prob	vaccine	3	134920	   1466576	9199.66	0.65	0.65	0.66	
0	kids_cat4	1	covid_tpp_prob	vaccine	1	105277	    779729	13501.74	1.24	1.23	1.25	0.00
0	kids_cat4	1	covid_tpp_prob	vaccine	2	25531	    249714	10224.10	1.24	1.23	1.26	
0	kids_cat4	1	covid_tpp_prob	vaccine	3	59811	    362335	16507.09	1.02	1.00	1.03	
0	kids_cat4	2	covid_tpp_prob	vaccine	1	49267	    332893	14799.66	1.25	1.24	1.27	0.00
0	kids_cat4	2	covid_tpp_prob	vaccine	2	10946	    132181	8281.09	1.41	1.38	1.44	
0	kids_cat4	2	covid_tpp_prob	vaccine	3	27564	    164115	16795.59	1.13	1.11	1.15	
0	kids_cat4	3	covid_tpp_prob	vaccine	1	43705	    289637	15089.55	1.35	1.33	1.36	0.00
0	kids_cat4	3	covid_tpp_prob	vaccine	2	10038	     95667	10492.65	1.49	1.46	1.53	
0	kids_cat4	3	covid_tpp_prob	vaccine	3	26896	    124543	21595.71	1.39	1.37	1.41	
1	kids_cat4	0	covid_tpp_prob	vaccine	1	36545	    403724	9051.97	1.00	   .	   .	   .
1	kids_cat4	0	covid_tpp_prob	vaccine	2	9246	    520808	1775.32	0.74	0.71	0.76	
1	kids_cat4	0	covid_tpp_prob	vaccine	3	43171	   1178146	3664.32	0.81	0.78	0.84	
1	kids_cat4	1	covid_tpp_prob	vaccine	1	1229	     11293	10882.65	1.11	1.04	1.19	0.00
1	kids_cat4	1	covid_tpp_prob	vaccine	2	280	      7231	3872.11	1.34	1.18	1.53	
1	kids_cat4	1	covid_tpp_prob	vaccine	3	995	     15218	6538.39	1.08	0.99	1.16	
1	kids_cat4	2	covid_tpp_prob	vaccine	1	749	      6725	11137.17	1.14	1.06	1.24	0.00
1	kids_cat4	2	covid_tpp_prob	vaccine	2	150	      5084	2950.19	1.03	0.87	1.21	
1	kids_cat4	2	covid_tpp_prob	vaccine	3	565	      9160	6168.26	1.23	1.12	1.36	
1	kids_cat4	3	covid_tpp_prob	vaccine	1	483	      4387	11009.46	1.14	1.04	1.26	0.01
1	kids_cat4	3	covid_tpp_prob	vaccine	2	98	      2469	3969.05	1.20	0.98	1.48	
1	kids_cat4	3	covid_tpp_prob	vaccine	3	356	      4641	7670.54	1.24	1.10	1.39	

