period	age	exposure	exposure level	outcome	HR	lci	uci
0	0	kids_cat4	1	covid_tpp_prob	1.21	1.19	1.22	9071263
0	0	kids_cat4	2	covid_tpp_prob	1.17	1.16	1.19	9071263
0	0	kids_cat4	3	covid_tpp_prob	1.22	1.20	1.24	9071263
0	0	kids_cat4	1	covidadmission	1.15	1.08	1.22	9071220
0	0	kids_cat4	2	covidadmission	1.15	1.08	1.23	9071220
0	0	kids_cat4	3	covidadmission	1.18	1.09	1.28	9071220
0	0	kids_cat4	1	covid_death	0.82	0.67	0.99	9071263
0	0	kids_cat4	2	covid_death	0.81	0.67	0.99	9071263
0	0	kids_cat4	3	covid_death	0.69	0.52	0.91	9071263
0	1	kids_cat4	1	covid_tpp_prob	1.23	1.15	1.31	2725551
0	1	kids_cat4	2	covid_tpp_prob	1.15	1.07	1.25	2725551
0	1	kids_cat4	3	covid_tpp_prob	1.19	1.07	1.31	2725551
0	1	kids_cat4	1	covidadmission	1.24	1.09	1.42	2725496
0	1	kids_cat4	2	covidadmission	1.24	1.07	1.44	2725496
0	1	kids_cat4	3	covidadmission	1.11	0.91	1.35	2725496
0	1	kids_cat4	1	covid_death	1.10	0.91	1.31	2725551
0	1	kids_cat4	2	covid_death	0.95	0.77	1.18	2725551
0	1	kids_cat4	3	covid_death	0.97	0.73	1.30	2725551
1	0	kids_cat4	1	covid_tpp_prob	1.48	1.43	1.53	8669312
1	0	kids_cat4	2	covid_tpp_prob	1.36	1.30	1.42	8669312
1	0	kids_cat4	3	covid_tpp_prob	1.70	1.63	1.77	8669312
1	0	kids_cat4	1	covidadmission	1.99	1.63	2.42	8961142
1	0	kids_cat4	2	covidadmission	1.45	1.13	1.85	8961142
1	0	kids_cat4	3	covidadmission	1.92	1.50	2.46	8961142
1	0	kids_cat4	1	covid_death	2.42	1.24	4.70	8970892
1	0	kids_cat4	2	covid_death	2.26	1.21	4.23	8970892
1	0	kids_cat4	3	covid_death	1.65	0.62	4.35	8970892
1	1	kids_cat4	1	covid_tpp_prob	1.61	1.28	2.02	2647662
1	1	kids_cat4	2	covid_tpp_prob	1.39	1.05	1.85	2647662
1	1	kids_cat4	3	covid_tpp_prob	1.90	1.38	2.60	2647662
1	1	kids_cat4	1	covidadmission	0.87	0.42	1.80	2678021
1	1	kids_cat4	2	covidadmission	1.44	0.71	2.91	2678021
1	1	kids_cat4	3	covidadmission	2.08	1.04	4.18	2678021
1	1	kids_cat4	1	covid_death	0.53	0.16	1.70	2684204
1	1	kids_cat4	2	covid_death	3.03	1.59	5.77	2684204
1	1	kids_cat4	3	covid_death	1.71	0.63	4.67	2684204
2	0	kids_cat4	1	covid_tpp_prob	1.02	1.00	1.04	8581730
2	0	kids_cat4	2	covid_tpp_prob	1.31	1.28	1.34	8581730
2	0	kids_cat4	3	covid_tpp_prob	1.28	1.25	1.31	8581730
2	0	kids_cat4	1	covidadmission	1.00	   .	   .	8899925
2	0	kids_cat4	2	covidadmission	1.00	   .	   .	8899925
2	0	kids_cat4	3	covidadmission	1.00	   .	   .	8899925
2	0	kids_cat4	1	covid_death	1.03	0.36	2.96	8910264
2	0	kids_cat4	2	covid_death	1.11	0.43	2.85	8910264
2	0	kids_cat4	3	covid_death	0.53	0.12	2.38	8910264
2	1	kids_cat4	1	covid_tpp_prob	1.40	1.16	1.69	2626079
2	1	kids_cat4	2	covid_tpp_prob	1.52	1.23	1.88	2626079
2	1	kids_cat4	3	covid_tpp_prob	1.58	1.20	2.08	2626079
2	1	kids_cat4	1	covidadmission	1.00	   .	   .	2657249
2	1	kids_cat4	2	covidadmission	1.00	   .	   .	2657249
2	1	kids_cat4	3	covidadmission	1.00	   .	   .	2657249
2	1	kids_cat4	1	covid_death	0.89	0.27	2.93	2663300
2	1	kids_cat4	2	covid_death	1.93	0.65	5.68	2663300
2	1	kids_cat4	3	covid_death	1.18	0.28	5.03	2663300

