sense	period	age	exposure	exposure level	outcome	HR	lci	uci
11thJuneCensor	0	0	kids_cat4	1	covid_tpp_prob	1.21	1.19	1.22	9089541
1stVaccCensor	0	0	kids_cat4	1	covid_tpp_prob	1.20	1.18	1.21	9079744
2ndVaccCensor	0	0	kids_cat4	1	covid_tpp_prob	1.20	1.19	1.22	9089541
11thJuneCensor	0	0	kids_cat4	2	covid_tpp_prob	1.17	1.16	1.19	9089541
1stVaccCensor	0	0	kids_cat4	2	covid_tpp_prob	1.20	1.18	1.21	9079744
2ndVaccCensor	0	0	kids_cat4	2	covid_tpp_prob	1.17	1.16	1.19	9089541
11thJuneCensor	0	0	kids_cat4	3	covid_tpp_prob	1.22	1.20	1.24	9089541
1stVaccCensor	0	0	kids_cat4	3	covid_tpp_prob	1.24	1.22	1.25	9079744
2ndVaccCensor	0	0	kids_cat4	3	covid_tpp_prob	1.22	1.20	1.24	9089541
11thJuneCensor	0	0	kids_cat4	1	covidadmission	1.14	1.08	1.21	9089496
1stVaccCensor	0	0	kids_cat4	1	covidadmission	1.13	1.07	1.20	9079699
2ndVaccCensor	0	0	kids_cat4	1	covidadmission	1.14	1.08	1.21	9089496
11thJuneCensor	0	0	kids_cat4	2	covidadmission	1.15	1.08	1.23	9089496
1stVaccCensor	0	0	kids_cat4	2	covidadmission	1.16	1.09	1.24	9079699
2ndVaccCensor	0	0	kids_cat4	2	covidadmission	1.15	1.08	1.23	9089496
11thJuneCensor	0	0	kids_cat4	3	covidadmission	1.18	1.10	1.28	9089496
1stVaccCensor	0	0	kids_cat4	3	covidadmission	1.18	1.09	1.27	9079699
2ndVaccCensor	0	0	kids_cat4	3	covidadmission	1.18	1.10	1.28	9089496
11thJuneCensor	0	0	kids_cat4	1	covid_death	0.81	0.67	0.99	9089541
1stVaccCensor	0	0	kids_cat4	1	covid_death	0.80	0.66	0.97	9079744
2ndVaccCensor	0	0	kids_cat4	1	covid_death	0.82	0.67	0.99	9089541
11thJuneCensor	0	0	kids_cat4	2	covid_death	0.81	0.66	0.99	9089541
1stVaccCensor	0	0	kids_cat4	2	covid_death	0.83	0.68	1.01	9079744
2ndVaccCensor	0	0	kids_cat4	2	covid_death	0.81	0.66	0.99	9089541
11thJuneCensor	0	0	kids_cat4	3	covid_death	0.69	0.52	0.91	9089541
1stVaccCensor	0	0	kids_cat4	3	covid_death	0.67	0.50	0.88	9079744
2ndVaccCensor	0	0	kids_cat4	3	covid_death	0.69	0.52	0.91	9089541
11thJuneCensor	0	1	kids_cat4	1	covid_tpp_prob	1.23	1.15	1.31	2731368
1stVaccCensor	0	1	kids_cat4	1	covid_tpp_prob	1.18	1.11	1.25	2725599
2ndVaccCensor	0	1	kids_cat4	1	covid_tpp_prob	1.23	1.15	1.31	2731368
11thJuneCensor	0	1	kids_cat4	2	covid_tpp_prob	1.15	1.06	1.24	2731368
1stVaccCensor	0	1	kids_cat4	2	covid_tpp_prob	1.08	1.01	1.17	2725599
2ndVaccCensor	0	1	kids_cat4	2	covid_tpp_prob	1.15	1.06	1.24	2731368
11thJuneCensor	0	1	kids_cat4	3	covid_tpp_prob	1.18	1.07	1.31	2731368
1stVaccCensor	0	1	kids_cat4	3	covid_tpp_prob	1.10	1.01	1.21	2725599
2ndVaccCensor	0	1	kids_cat4	3	covid_tpp_prob	1.18	1.07	1.31	2731368
11thJuneCensor	0	1	kids_cat4	1	covidadmission	1.21	1.06	1.37	2731306
1stVaccCensor	0	1	kids_cat4	1	covidadmission	1.15	1.01	1.30	2725538
2ndVaccCensor	0	1	kids_cat4	1	covidadmission	1.20	1.05	1.36	2731306
11thJuneCensor	0	1	kids_cat4	2	covidadmission	1.25	1.08	1.45	2731306
1stVaccCensor	0	1	kids_cat4	2	covidadmission	1.16	1.00	1.33	2725538
2ndVaccCensor	0	1	kids_cat4	2	covidadmission	1.24	1.07	1.43	2731306
11thJuneCensor	0	1	kids_cat4	3	covidadmission	1.15	0.95	1.39	2731306
1stVaccCensor	0	1	kids_cat4	3	covidadmission	1.09	0.91	1.31	2725538
2ndVaccCensor	0	1	kids_cat4	3	covidadmission	1.14	0.94	1.38	2731306
11thJuneCensor	0	1	kids_cat4	1	covid_death	1.10	0.92	1.32	2731368
1stVaccCensor	0	1	kids_cat4	1	covid_death	0.96	0.80	1.14	2725599
2ndVaccCensor	0	1	kids_cat4	1	covid_death	1.09	0.91	1.31	2731368
11thJuneCensor	0	1	kids_cat4	2	covid_death	0.94	0.76	1.17	2731368
1stVaccCensor	0	1	kids_cat4	2	covid_death	0.85	0.69	1.05	2725599
2ndVaccCensor	0	1	kids_cat4	2	covid_death	0.93	0.75	1.16	2731368
11thJuneCensor	0	1	kids_cat4	3	covid_death	0.97	0.73	1.29	2731368
1stVaccCensor	0	1	kids_cat4	3	covid_death	0.82	0.62	1.08	2725599
2ndVaccCensor	0	1	kids_cat4	3	covid_death	0.96	0.72	1.29	2731368
11thJuneCensor	1	0	kids_cat4	1	covid_tpp_prob	1.48	1.43	1.53	8687932
1stVaccCensor	1	0	kids_cat4	1	covid_tpp_prob	1.28	1.25	1.31	6258158
2ndVaccCensor	1	0	kids_cat4	1	covid_tpp_prob	1.33	1.29	1.36	8613784
11thJuneCensor	1	0	kids_cat4	2	covid_tpp_prob	1.35	1.30	1.42	8687932
1stVaccCensor	1	0	kids_cat4	2	covid_tpp_prob	1.51	1.46	1.55	6258158
2ndVaccCensor	1	0	kids_cat4	2	covid_tpp_prob	1.41	1.37	1.46	8613784
11thJuneCensor	1	0	kids_cat4	3	covid_tpp_prob	1.70	1.62	1.77	8687932
1stVaccCensor	1	0	kids_cat4	3	covid_tpp_prob	1.55	1.50	1.60	6258158
2ndVaccCensor	1	0	kids_cat4	3	covid_tpp_prob	1.59	1.53	1.65	8613784
11thJuneCensor	1	0	kids_cat4	1	covidadmission	1.93	1.61	2.31	8979762
1stVaccCensor	1	0	kids_cat4	1	covidadmission	1.62	1.36	1.94	5986199
2ndVaccCensor	1	0	kids_cat4	1	covidadmission	1.78	1.50	2.11	8861220
11thJuneCensor	1	0	kids_cat4	2	covidadmission	1.40	1.11	1.77	8979762
1stVaccCensor	1	0	kids_cat4	2	covidadmission	1.35	1.07	1.70	5986199
2ndVaccCensor	1	0	kids_cat4	2	covidadmission	1.50	1.21	1.85	8861220
11thJuneCensor	1	0	kids_cat4	3	covidadmission	1.81	1.43	2.28	8979762
1stVaccCensor	1	0	kids_cat4	3	covidadmission	1.67	1.34	2.08	5986199
2ndVaccCensor	1	0	kids_cat4	3	covidadmission	1.72	1.38	2.15	8861220
11thJuneCensor	1	0	kids_cat4	1	covid_death	2.36	1.22	4.58	8989992
1stVaccCensor	1	0	kids_cat4	1	covid_death	1.79	0.90	3.55	5992067
2ndVaccCensor	1	0	kids_cat4	1	covid_death	2.14	1.10	4.15	8871396
11thJuneCensor	1	0	kids_cat4	2	covid_death	2.20	1.18	4.11	8989992
1stVaccCensor	1	0	kids_cat4	2	covid_death	1.63	0.79	3.36	5992067
2ndVaccCensor	1	0	kids_cat4	2	covid_death	2.16	1.18	3.98	8871396
11thJuneCensor	1	0	kids_cat4	3	covid_death	1.61	0.61	4.23	8989992
1stVaccCensor	1	0	kids_cat4	3	covid_death	1.23	0.46	3.31	5992067
2ndVaccCensor	1	0	kids_cat4	3	covid_death	1.43	0.54	3.77	8871396
11thJuneCensor	1	1	kids_cat4	1	covid_tpp_prob	1.60	1.27	2.01	2653533
1stVaccCensor	1	1	kids_cat4	1	covid_tpp_prob	0.79	0.50	1.23	151755
2ndVaccCensor	1	1	kids_cat4	1	covid_tpp_prob	1.25	1.06	1.46	2529249
11thJuneCensor	1	1	kids_cat4	2	covid_tpp_prob	1.39	1.04	1.84	2653533
1stVaccCensor	1	1	kids_cat4	2	covid_tpp_prob	1.47	0.96	2.26	151755
2ndVaccCensor	1	1	kids_cat4	2	covid_tpp_prob	1.30	1.08	1.55	2529249
11thJuneCensor	1	1	kids_cat4	3	covid_tpp_prob	1.85	1.35	2.55	2653533
1stVaccCensor	1	1	kids_cat4	3	covid_tpp_prob	1.18	0.72	1.95	151755
2ndVaccCensor	1	1	kids_cat4	3	covid_tpp_prob	1.31	1.04	1.65	2529249
11thJuneCensor	1	1	kids_cat4	1	covidadmission	0.97	0.49	1.92	2683593
1stVaccCensor	1	1	kids_cat4	1	covidadmission	0.75	0.31	1.84	140116
2ndVaccCensor	1	1	kids_cat4	1	covidadmission	1.04	0.62	1.75	2515439
11thJuneCensor	1	1	kids_cat4	2	covidadmission	1.49	0.76	2.90	2683593
1stVaccCensor	1	1	kids_cat4	2	covidadmission	1.42	0.63	3.20	140116
2ndVaccCensor	1	1	kids_cat4	2	covidadmission	1.20	0.68	2.12	2515439
11thJuneCensor	1	1	kids_cat4	3	covidadmission	2.09	1.08	4.06	2683593
1stVaccCensor	1	1	kids_cat4	3	covidadmission	0.63	0.18	2.21	140116
2ndVaccCensor	1	1	kids_cat4	3	covidadmission	1.68	0.95	2.98	2515439
11thJuneCensor	1	1	kids_cat4	1	covid_death	0.70	0.25	1.97	2690087
1stVaccCensor	1	1	kids_cat4	1	covid_death	0.40	0.10	1.69	141739
2ndVaccCensor	1	1	kids_cat4	1	covid_death	0.68	0.29	1.58	2521752
11thJuneCensor	1	1	kids_cat4	2	covid_death	3.01	1.58	5.74	2690087
1stVaccCensor	1	1	kids_cat4	2	covid_death	1.95	0.79	4.82	141739
2ndVaccCensor	1	1	kids_cat4	2	covid_death	2.13	1.16	3.93	2521752
11thJuneCensor	1	1	kids_cat4	3	covid_death	1.36	0.46	4.07	2690087
1stVaccCensor	1	1	kids_cat4	3	covid_death	0.41	0.06	3.03	141739
2ndVaccCensor	1	1	kids_cat4	3	covid_death	1.06	0.40	2.79	2521752
11thJuneCensor	2	0	kids_cat4	1	covid_tpp_prob	1.04	0.98	1.11	8600842
1stVaccCensor	2	0	kids_cat4	1	covid_tpp_prob	1.16	1.11	1.21	3487474
2ndVaccCensor	2	0	kids_cat4	1	covid_tpp_prob	0.99	0.95	1.04	6583325
11thJuneCensor	2	0	kids_cat4	2	covid_tpp_prob	1.26	1.17	1.36	8600842
1stVaccCensor	2	0	kids_cat4	2	covid_tpp_prob	1.31	1.22	1.40	3487474
2ndVaccCensor	2	0	kids_cat4	2	covid_tpp_prob	1.35	1.28	1.41	6583325
11thJuneCensor	2	0	kids_cat4	3	covid_tpp_prob	1.37	1.27	1.48	8600842
1stVaccCensor	2	0	kids_cat4	3	covid_tpp_prob	1.34	1.26	1.42	3487474
2ndVaccCensor	2	0	kids_cat4	3	covid_tpp_prob	1.32	1.25	1.40	6583325
11thJuneCensor	2	0	kids_cat4	1	covidadmission	1.07	0.68	1.67	8919020
1stVaccCensor	2	0	kids_cat4	1	covidadmission	1.35	0.86	2.11	3350531
2ndVaccCensor	2	0	kids_cat4	1	covidadmission	1.04	0.68	1.60	6279474
11thJuneCensor	2	0	kids_cat4	2	covidadmission	1.08	0.60	1.92	8919020
1stVaccCensor	2	0	kids_cat4	2	covidadmission	1.08	0.53	2.18	3350531
2ndVaccCensor	2	0	kids_cat4	2	covidadmission	1.01	0.58	1.78	6279474
11thJuneCensor	2	0	kids_cat4	3	covidadmission	1.05	0.60	1.85	8919020
1stVaccCensor	2	0	kids_cat4	3	covidadmission	1.14	0.62	2.11	3350531
2ndVaccCensor	2	0	kids_cat4	3	covidadmission	1.04	0.61	1.78	6279474
11thJuneCensor	2	0	kids_cat4	1	covid_death	0.00	   .	   .	8929943
1stVaccCensor	2	0	kids_cat4	1	covid_death	0.00	0.00	0.00	3353070
2ndVaccCensor	2	0	kids_cat4	1	covid_death	1.21	0.11	13.72	6286598
11thJuneCensor	2	0	kids_cat4	2	covid_death	3.59	0.85	15.15	8929943
1stVaccCensor	2	0	kids_cat4	2	covid_death	3.01	0.40	22.51	3353070
2ndVaccCensor	2	0	kids_cat4	2	covid_death	3.18	0.78	13.00	6286598
11thJuneCensor	2	0	kids_cat4	3	covid_death	2.00	0.28	14.14	8929943
1stVaccCensor	2	0	kids_cat4	3	covid_death	2.21	0.27	17.81	3353070
2ndVaccCensor	2	0	kids_cat4	3	covid_death	2.09	0.29	15.03	6286598
11thJuneCensor	2	1	kids_cat4	1	covid_tpp_prob	1.35	0.81	2.23	2631967
1stVaccCensor	2	1	kids_cat4	1	covid_tpp_prob	0.69	0.19	2.55	102617
2ndVaccCensor	2	1	kids_cat4	1	covid_tpp_prob	0.84	0.44	1.59	222489
11thJuneCensor	2	1	kids_cat4	2	covid_tpp_prob	1.55	0.86	2.81	2631967
1stVaccCensor	2	1	kids_cat4	2	covid_tpp_prob	0.47	0.05	4.27	102617
2ndVaccCensor	2	1	kids_cat4	2	covid_tpp_prob	0.95	0.40	2.27	222489
11thJuneCensor	2	1	kids_cat4	3	covid_tpp_prob	1.92	1.03	3.56	2631967
1stVaccCensor	2	1	kids_cat4	3	covid_tpp_prob	0.52	0.06	4.15	102617
2ndVaccCensor	2	1	kids_cat4	3	covid_tpp_prob	1.26	0.59	2.69	222489
11thJuneCensor	2	1	kids_cat4	1	covidadmission	1.53	0.28	8.35	2662814
1stVaccCensor	2	1	kids_cat4	1	covidadmission	0.00	0.00	0.00	102771
2ndVaccCensor	2	1	kids_cat4	1	covidadmission	0.98	0.22	4.36	187172
11thJuneCensor	2	1	kids_cat4	2	covidadmission	2.71	0.55	13.25	2662814
1stVaccCensor	2	1	kids_cat4	2	covidadmission	0.00	0.00	0.00	102771
2ndVaccCensor	2	1	kids_cat4	2	covidadmission	2.82	0.74	10.75	187172
11thJuneCensor	2	1	kids_cat4	3	covidadmission	1.39	0.16	11.83	2662814
1stVaccCensor	2	1	kids_cat4	3	covidadmission	0.00	0.00	0.00	102771
2ndVaccCensor	2	1	kids_cat4	3	covidadmission	1.05	0.15	7.49	187172
