sense	period	age	exposure	exposure level	outcome	HR	lci	uci
11thJuneCensor	2	1	kids_cat4	1	covid_death	0.00	   .	   .	2669193
1stVaccCensor	2	1	kids_cat4	1	covid_death	0.00	0.00	0.00	103296
2ndVaccCensor	2	1	kids_cat4	1	covid_death	0.00	0.00	0.00	189155
11thJuneCensor	2	1	kids_cat4	2	covid_death	0.00	   .	   .	2669193
1stVaccCensor	2	1	kids_cat4	2	covid_death	0.00	0.00	0.00	103296
2ndVaccCensor	2	1	kids_cat4	2	covid_death	3.44	0.43	27.49	189155
11thJuneCensor	2	1	kids_cat4	3	covid_death	3.88	0.73	20.67	2669193
1stVaccCensor	2	1	kids_cat4	3	covid_death	0.00	0.00	0.00	103296
2ndVaccCensor	2	1	kids_cat4	3	covid_death	3.90	0.62	24.65	189155

