period	age	exposure	exposure level	outcome	HR	lci	uci
0	0	kids_cat4	1	covid_tpp_prob	1.21	1.19	1.22	9089541
0	0	kids_cat4	2	covid_tpp_prob	1.17	1.16	1.19	9089541
0	0	kids_cat4	3	covid_tpp_prob	1.22	1.20	1.24	9089541
0	0	kids_cat4	1	covidadmission	1.14	1.08	1.21	9089496
0	0	kids_cat4	2	covidadmission	1.15	1.08	1.23	9089496
0	0	kids_cat4	3	covidadmission	1.18	1.10	1.28	9089496
0	0	kids_cat4	1	covid_death	0.81	0.67	0.99	9089541
0	0	kids_cat4	2	covid_death	0.81	0.66	0.99	9089541
0	0	kids_cat4	3	covid_death	0.69	0.52	0.91	9089541
0	1	kids_cat4	1	covid_tpp_prob	1.23	1.15	1.31	2731368
0	1	kids_cat4	2	covid_tpp_prob	1.15	1.06	1.24	2731368
0	1	kids_cat4	3	covid_tpp_prob	1.18	1.07	1.31	2731368
0	1	kids_cat4	1	covidadmission	1.21	1.06	1.37	2731306
0	1	kids_cat4	2	covidadmission	1.25	1.08	1.45	2731306
0	1	kids_cat4	3	covidadmission	1.15	0.95	1.39	2731306
0	1	kids_cat4	1	covid_death	1.10	0.92	1.32	2731368
0	1	kids_cat4	2	covid_death	0.94	0.76	1.17	2731368
0	1	kids_cat4	3	covid_death	0.97	0.73	1.29	2731368
1	0	kids_cat4	1	covid_tpp_prob	1.48	1.43	1.53	8687932
1	0	kids_cat4	2	covid_tpp_prob	1.35	1.30	1.42	8687932
1	0	kids_cat4	3	covid_tpp_prob	1.70	1.62	1.77	8687932
1	0	kids_cat4	1	covidadmission	1.93	1.61	2.31	8979762
1	0	kids_cat4	2	covidadmission	1.40	1.11	1.77	8979762
1	0	kids_cat4	3	covidadmission	1.81	1.43	2.28	8979762
1	0	kids_cat4	1	covid_death	2.36	1.22	4.58	8989992
1	0	kids_cat4	2	covid_death	2.20	1.18	4.11	8989992
1	0	kids_cat4	3	covid_death	1.61	0.61	4.23	8989992
1	1	kids_cat4	1	covid_tpp_prob	1.60	1.27	2.01	2653533
1	1	kids_cat4	2	covid_tpp_prob	1.39	1.04	1.84	2653533
1	1	kids_cat4	3	covid_tpp_prob	1.85	1.35	2.55	2653533
1	1	kids_cat4	1	covidadmission	0.97	0.49	1.92	2683593
1	1	kids_cat4	2	covidadmission	1.49	0.76	2.90	2683593
1	1	kids_cat4	3	covidadmission	2.09	1.08	4.06	2683593
1	1	kids_cat4	1	covid_death	0.70	0.25	1.97	2690087
1	1	kids_cat4	2	covid_death	3.01	1.58	5.74	2690087
1	1	kids_cat4	3	covid_death	1.36	0.46	4.07	2690087
2	0	kids_cat4	1	covid_tpp_prob	1.02	1.00	1.04	8600842
2	0	kids_cat4	2	covid_tpp_prob	1.31	1.28	1.34	8600842
2	0	kids_cat4	3	covid_tpp_prob	1.28	1.25	1.31	8600842
2	0	kids_cat4	1	covidadmission	1.44	1.23	1.68	8919020
2	0	kids_cat4	2	covidadmission	1.49	1.23	1.81	8919020
2	0	kids_cat4	3	covidadmission	1.80	1.49	2.18	8919020
2	0	kids_cat4	1	covid_death	1.42	0.58	3.49	8929943
2	0	kids_cat4	2	covid_death	1.22	0.51	2.91	8929943
2	0	kids_cat4	3	covid_death	0.52	0.12	2.30	8929943
2	1	kids_cat4	1	covid_tpp_prob	1.38	1.15	1.67	2631967
2	1	kids_cat4	2	covid_tpp_prob	1.53	1.24	1.89	2631967
2	1	kids_cat4	3	covid_tpp_prob	1.57	1.20	2.07	2631967
2	1	kids_cat4	1	covidadmission	1.78	1.04	3.05	2662814
2	1	kids_cat4	2	covidadmission	1.72	0.93	3.21	2662814
2	1	kids_cat4	3	covidadmission	1.31	0.57	3.02	2662814
2	1	kids_cat4	1	covid_death	1.10	0.39	3.09	2669193
2	1	kids_cat4	2	covid_death	1.72	0.60	4.94	2669193
2	1	kids_cat4	3	covid_death	1.13	0.27	4.71	2669193

