period	age	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
0	0	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
0	0	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
0	0	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
0	0	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
0	0	kids_cat4	1	covidadmission	male	0	1.18	1.09	1.28	0.24
0	0	kids_cat4	1	covidadmission	male	1	1.11	1.02	1.20	
0	0	kids_cat4	1	covidadmission	shield	0	1.15	1.08	1.24	0.58
0	0	kids_cat4	1	covidadmission	shield	1	1.12	1.01	1.24	
0	0	kids_cat4	2	covidadmission	male	0	1.06	0.97	1.16	0.01
0	0	kids_cat4	2	covidadmission	male	1	1.23	1.13	1.33	
0	0	kids_cat4	2	covidadmission	shield	0	1.10	1.02	1.19	0.07
0	0	kids_cat4	2	covidadmission	shield	1	1.24	1.12	1.38	
0	0	kids_cat4	3	covidadmission	male	0	1.12	1.00	1.25	0.15
0	0	kids_cat4	3	covidadmission	male	1	1.24	1.12	1.36	
0	0	kids_cat4	3	covidadmission	shield	0	1.16	1.06	1.27	0.42
0	0	kids_cat4	3	covidadmission	shield	1	1.24	1.09	1.41	
0	1	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
0	1	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
0	1	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
0	1	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
0	1	kids_cat4	1	covidadmission	male	0	1.12	0.93	1.35	0.25
0	1	kids_cat4	1	covidadmission	male	1	1.28	1.09	1.50	
0	1	kids_cat4	1	covidadmission	shield	0	1.12	0.94	1.33	0.18
0	1	kids_cat4	1	covidadmission	shield	1	1.31	1.10	1.57	
0	1	kids_cat4	2	covidadmission	male	0	1.15	0.93	1.42	0.26
0	1	kids_cat4	2	covidadmission	male	1	1.34	1.11	1.62	
0	1	kids_cat4	2	covidadmission	shield	0	1.12	0.91	1.38	0.12
0	1	kids_cat4	2	covidadmission	shield	1	1.39	1.15	1.68	
0	1	kids_cat4	3	covidadmission	male	0	1.11	0.85	1.46	0.75
0	1	kids_cat4	3	covidadmission	male	1	1.18	0.91	1.53	
0	1	kids_cat4	3	covidadmission	shield	0	1.29	1.01	1.64	0.17
0	1	kids_cat4	3	covidadmission	shield	1	0.99	0.74	1.34	
1	0	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
1	0	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
1	0	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
1	0	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
1	0	kids_cat4	1	covidadmission	male	0	1.69	1.30	2.20	0.16
1	0	kids_cat4	1	covidadmission	male	1	2.14	1.71	2.68	
1	0	kids_cat4	1	covidadmission	shield	0	2.09	1.69	2.57	0.12
1	0	kids_cat4	1	covidadmission	shield	1	1.52	1.07	2.16	
1	0	kids_cat4	2	covidadmission	male	0	1.48	1.07	2.06	0.61
1	0	kids_cat4	2	covidadmission	male	1	1.32	0.96	1.82	
1	0	kids_cat4	2	covidadmission	shield	0	1.39	1.06	1.84	0.89
1	0	kids_cat4	2	covidadmission	shield	1	1.44	0.96	2.15	
1	0	kids_cat4	3	covidadmission	male	0	1.80	1.30	2.48	0.96
1	0	kids_cat4	3	covidadmission	male	1	1.81	1.34	2.45	
1	0	kids_cat4	3	covidadmission	shield	0	1.98	1.53	2.56	0.16
1	0	kids_cat4	3	covidadmission	shield	1	1.36	0.85	2.19	
1	1	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
1	1	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
1	1	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
1	1	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
