period	age	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
1	1	kids_cat4	1	covidadmission	male	0	0.78	0.28	2.19	0.55
1	1	kids_cat4	1	covidadmission	male	1	1.14	0.50	2.61	
1	1	kids_cat4	1	covidadmission	shield	0	1.91	0.89	4.10	0.02
1	1	kids_cat4	1	covidadmission	shield	1	0.30	0.07	1.23	
1	1	kids_cat4	2	covidadmission	male	0	1.20	0.43	3.32	0.55
1	1	kids_cat4	2	covidadmission	male	1	1.78	0.76	4.15	
1	1	kids_cat4	2	covidadmission	shield	0	1.47	0.54	4.04	0.98
1	1	kids_cat4	2	covidadmission	shield	1	1.50	0.64	3.51	
1	1	kids_cat4	3	covidadmission	male	0	3.52	1.70	7.29	0.04
1	1	kids_cat4	3	covidadmission	male	1	0.69	0.17	2.88	
1	1	kids_cat4	3	covidadmission	shield	0	3.43	1.54	7.67	0.09
1	1	kids_cat4	3	covidadmission	shield	1	1.17	0.42	3.27	
2	0	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
2	0	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
2	0	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
2	0	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
2	0	kids_cat4	1	covidadmission	male	0	1.65	1.34	2.03	0.06
2	0	kids_cat4	1	covidadmission	male	1	1.25	1.00	1.56	
2	0	kids_cat4	1	covidadmission	shield	0	1.59	1.33	1.90	0.03
2	0	kids_cat4	1	covidadmission	shield	1	1.09	0.81	1.48	
2	0	kids_cat4	2	covidadmission	male	0	1.70	1.31	2.21	0.16
2	0	kids_cat4	2	covidadmission	male	1	1.31	0.99	1.72	
2	0	kids_cat4	2	covidadmission	shield	0	1.53	1.21	1.93	0.74
2	0	kids_cat4	2	covidadmission	shield	1	1.43	1.03	1.98	
2	0	kids_cat4	3	covidadmission	male	0	2.02	1.57	2.61	0.22
2	0	kids_cat4	3	covidadmission	male	1	1.62	1.23	2.12	
2	0	kids_cat4	3	covidadmission	shield	0	1.85	1.49	2.31	0.71
2	0	kids_cat4	3	covidadmission	shield	1	1.72	1.23	2.40	
2	1	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
2	1	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
2	1	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
2	1	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
2	1	kids_cat4	1	covidadmission	male	0	1.60	0.72	3.56	0.71
2	1	kids_cat4	1	covidadmission	male	1	1.92	1.00	3.72	
2	1	kids_cat4	1	covidadmission	shield	0	1.20	0.51	2.86	0.19
2	1	kids_cat4	1	covidadmission	shield	1	2.35	1.25	4.42	
2	1	kids_cat4	2	covidadmission	male	0	2.02	0.88	4.65	0.60
2	1	kids_cat4	2	covidadmission	male	1	1.46	0.59	3.60	
2	1	kids_cat4	2	covidadmission	shield	0	1.31	0.48	3.62	0.46
2	1	kids_cat4	2	covidadmission	shield	1	2.10	0.98	4.51	
2	1	kids_cat4	3	covidadmission	male	0	0.46	0.06	3.38	0.17
2	1	kids_cat4	3	covidadmission	male	1	2.07	0.83	5.13	
2	1	kids_cat4	3	covidadmission	shield	0	1.77	0.63	4.96	0.41
2	1	kids_cat4	3	covidadmission	shield	1	0.86	0.21	3.47	

