period	age	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
0	0	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
0	0	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
0	0	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
0	0	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
0	0	kids_cat4	1	covidadmission	male	0	1.18	1.09	1.28	0.25
0	0	kids_cat4	1	covidadmission	male	1	1.11	1.03	1.20	
0	0	kids_cat4	1	covidadmission	shield	0	1.16	1.08	1.24	0.56
0	0	kids_cat4	1	covidadmission	shield	1	1.12	1.01	1.24	
0	0	kids_cat4	2	covidadmission	male	0	1.06	0.97	1.16	0.01
0	0	kids_cat4	2	covidadmission	male	1	1.23	1.14	1.34	
0	0	kids_cat4	2	covidadmission	shield	0	1.11	1.03	1.20	0.10
0	0	kids_cat4	2	covidadmission	shield	1	1.23	1.11	1.37	
0	0	kids_cat4	3	covidadmission	male	0	1.12	1.00	1.25	0.18
0	0	kids_cat4	3	covidadmission	male	1	1.23	1.12	1.35	
0	0	kids_cat4	3	covidadmission	shield	0	1.17	1.07	1.27	0.51
0	0	kids_cat4	3	covidadmission	shield	1	1.23	1.08	1.39	
0	1	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
0	1	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
0	1	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
0	1	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
0	1	kids_cat4	1	covidadmission	male	0	1.14	0.94	1.37	0.25
0	1	kids_cat4	1	covidadmission	male	1	1.29	1.11	1.51	
0	1	kids_cat4	1	covidadmission	shield	0	1.14	0.96	1.36	0.23
0	1	kids_cat4	1	covidadmission	shield	1	1.32	1.11	1.57	
0	1	kids_cat4	2	covidadmission	male	0	1.16	0.94	1.43	0.31
0	1	kids_cat4	2	covidadmission	male	1	1.34	1.11	1.61	
0	1	kids_cat4	2	covidadmission	shield	0	1.12	0.91	1.38	0.12
0	1	kids_cat4	2	covidadmission	shield	1	1.39	1.15	1.68	
0	1	kids_cat4	3	covidadmission	male	0	1.12	0.85	1.46	0.63
0	1	kids_cat4	3	covidadmission	male	1	1.22	0.95	1.57	
0	1	kids_cat4	3	covidadmission	shield	0	1.33	1.05	1.69	0.11
0	1	kids_cat4	3	covidadmission	shield	1	0.98	0.73	1.33	
1	0	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
1	0	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
1	0	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
1	0	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
1	0	kids_cat4	1	covidadmission	male	0	1.65	1.27	2.14	0.16
1	0	kids_cat4	1	covidadmission	male	1	2.07	1.66	2.60	
1	0	kids_cat4	1	covidadmission	shield	0	2.02	1.64	2.48	0.15
1	0	kids_cat4	1	covidadmission	shield	1	1.51	1.07	2.13	
1	0	kids_cat4	2	covidadmission	male	0	1.45	1.05	2.01	0.61
1	0	kids_cat4	2	covidadmission	male	1	1.30	0.95	1.77	
1	0	kids_cat4	2	covidadmission	shield	0	1.34	1.02	1.77	0.75
1	0	kids_cat4	2	covidadmission	shield	1	1.45	0.98	2.15	
1	0	kids_cat4	3	covidadmission	male	0	1.79	1.30	2.45	0.96
1	0	kids_cat4	3	covidadmission	male	1	1.80	1.34	2.42	
1	0	kids_cat4	3	covidadmission	shield	0	1.95	1.51	2.52	0.20
1	0	kids_cat4	3	covidadmission	shield	1	1.39	0.88	2.21	
1	1	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
1	1	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
1	1	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
1	1	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
