period	age	exposure	exposure level	outcome	int_type	int_level	HR	lci	uci	pval
1	1	kids_cat4	1	covidadmission	male	0	0.59	0.18	1.92	0.36
1	1	kids_cat4	1	covidadmission	male	1	1.12	0.49	2.57	
1	1	kids_cat4	1	covidadmission	shield	0	1.68	0.76	3.73	0.03
1	1	kids_cat4	1	covidadmission	shield	1	0.30	0.07	1.24	
1	1	kids_cat4	2	covidadmission	male	0	1.22	0.44	3.37	0.58
1	1	kids_cat4	2	covidadmission	male	1	1.75	0.75	4.08	
1	1	kids_cat4	2	covidadmission	shield	0	1.46	0.53	4.01	0.96
1	1	kids_cat4	2	covidadmission	shield	1	1.51	0.65	3.52	
1	1	kids_cat4	3	covidadmission	male	0	3.94	1.95	7.97	0.03
1	1	kids_cat4	3	covidadmission	male	1	0.69	0.17	2.85	
1	1	kids_cat4	3	covidadmission	shield	0	3.43	1.53	7.67	0.15
1	1	kids_cat4	3	covidadmission	shield	1	1.48	0.59	3.74	
2	0	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
2	0	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
2	0	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
2	0	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
2	0	kids_cat4	1	covidadmission	male	0	1.51	1.30	1.74	0.08
2	0	kids_cat4	1	covidadmission	male	1	1.26	1.08	1.47	
2	0	kids_cat4	1	covidadmission	shield	0	1.43	1.25	1.62	0.34
2	0	kids_cat4	1	covidadmission	shield	1	1.28	1.05	1.55	
2	0	kids_cat4	2	covidadmission	male	0	1.48	1.23	1.78	0.09
2	0	kids_cat4	2	covidadmission	male	1	1.18	0.97	1.44	
2	0	kids_cat4	2	covidadmission	shield	0	1.32	1.12	1.56	0.92
2	0	kids_cat4	2	covidadmission	shield	1	1.34	1.06	1.68	
2	0	kids_cat4	3	covidadmission	male	0	1.86	1.56	2.23	0.26
2	0	kids_cat4	3	covidadmission	male	1	1.61	1.33	1.95	
2	0	kids_cat4	3	covidadmission	shield	0	1.78	1.52	2.08	0.55
2	0	kids_cat4	3	covidadmission	shield	1	1.63	1.29	2.07	
2	1	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
2	1	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
2	1	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
2	1	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
2	1	kids_cat4	1	covidadmission	male	0	1.83	1.09	3.08	0.39
2	1	kids_cat4	1	covidadmission	male	1	1.36	0.82	2.25	
2	1	kids_cat4	1	covidadmission	shield	0	1.17	0.64	2.14	0.18
2	1	kids_cat4	1	covidadmission	shield	1	1.90	1.21	3.00	
2	1	kids_cat4	2	covidadmission	male	0	2.40	1.44	4.01	0.69
2	1	kids_cat4	2	covidadmission	male	1	2.09	1.27	3.43	
2	1	kids_cat4	2	covidadmission	shield	0	2.54	1.54	4.19	0.48
2	1	kids_cat4	2	covidadmission	shield	1	1.97	1.19	3.29	
2	1	kids_cat4	3	covidadmission	male	0	1.11	0.45	2.73	0.54
2	1	kids_cat4	3	covidadmission	male	1	1.55	0.76	3.14	
2	1	kids_cat4	3	covidadmission	shield	0	1.56	0.67	3.67	0.62
2	1	kids_cat4	3	covidadmission	shield	1	1.17	0.51	2.64	
3	0	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
3	0	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
3	0	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
3	0	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
3	0	kids_cat4	1	covidadmission	male	0	1.60	1.33	1.91	0.01
3	0	kids_cat4	1	covidadmission	male	1	1.15	0.92	1.43	
3	0	kids_cat4	1	covidadmission	shield	0	1.34	1.13	1.59	0.33
3	0	kids_cat4	1	covidadmission	shield	1	1.54	1.22	1.95	
3	0	kids_cat4	2	covidadmission	male	0	1.44	1.14	1.81	0.98
3	0	kids_cat4	2	covidadmission	male	1	1.44	1.13	1.84	
3	0	kids_cat4	2	covidadmission	shield	0	1.49	1.22	1.82	0.50
3	0	kids_cat4	2	covidadmission	shield	1	1.32	0.98	1.79	
3	0	kids_cat4	3	covidadmission	male	0	1.38	1.07	1.77	0.68
3	0	kids_cat4	3	covidadmission	male	1	1.48	1.14	1.93	
3	0	kids_cat4	3	covidadmission	shield	0	1.44	1.16	1.79	0.76
3	0	kids_cat4	3	covidadmission	shield	1	1.36	0.96	1.90	
3	1	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
3	1	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
3	1	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
3	1	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
3	1	kids_cat4	1	covidadmission	male	0	1.80	1.04	3.09	0.47
3	1	kids_cat4	1	covidadmission	male	1	1.37	0.78	2.41	
3	1	kids_cat4	1	covidadmission	shield	0	1.94	1.15	3.26	0.23
3	1	kids_cat4	1	covidadmission	shield	1	1.22	0.67	2.22	
3	1	kids_cat4	2	covidadmission	male	0	3.26	1.99	5.34	0.20
3	1	kids_cat4	2	covidadmission	male	1	2.03	1.15	3.60	
3	1	kids_cat4	2	covidadmission	shield	0	2.92	1.73	4.94	0.56
3	1	kids_cat4	2	covidadmission	shield	1	2.37	1.39	4.02	
3	1	kids_cat4	3	covidadmission	male	0	2.00	0.97	4.12	0.14
3	1	kids_cat4	3	covidadmission	male	1	0.73	0.23	2.29	
3	1	kids_cat4	3	covidadmission	shield	0	1.58	0.69	3.59	0.61
3	1	kids_cat4	3	covidadmission	shield	1	1.15	0.47	2.84	
4	0	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
4	0	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
4	0	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
4	0	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
4	0	kids_cat4	1	covidadmission	male	0	1.00	   .	   .	   .
4	0	kids_cat4	1	covidadmission	male	1	1.00	   .	   .	
4	0	kids_cat4	1	covidadmission	shield	0	1.00	   .	   .	   .
4	0	kids_cat4	1	covidadmission	shield	1	1.00	   .	   .	
4	0	kids_cat4	2	covidadmission	male	0	1.00	   .	   .	   .
4	0	kids_cat4	2	covidadmission	male	1	1.00	   .	   .	
4	0	kids_cat4	2	covidadmission	shield	0	1.00	   .	   .	   .
4	0	kids_cat4	2	covidadmission	shield	1	1.00	   .	   .	
4	0	kids_cat4	3	covidadmission	male	0	1.00	   .	   .	   .
4	0	kids_cat4	3	covidadmission	male	1	1.00	   .	   .	
4	0	kids_cat4	3	covidadmission	shield	0	1.00	   .	   .	   .
4	0	kids_cat4	3	covidadmission	shield	1	1.00	   .	   .	
4	1	kids_cat4	0	covidadmission	male	0	1.00	   .	   .	   .
4	1	kids_cat4	0	covidadmission	male	1	1.00	   .	   .	
4	1	kids_cat4	0	covidadmission	shield	0	1.00	   .	   .	   .
4	1	kids_cat4	0	covidadmission	shield	1	1.00	   .	   .	
4	1	kids_cat4	1	covidadmission	male	0	1.00	   .	   .	   .
4	1	kids_cat4	1	covidadmission	male	1	1.00	   .	   .	
4	1	kids_cat4	1	covidadmission	shield	0	1.00	   .	   .	   .
4	1	kids_cat4	1	covidadmission	shield	1	1.00	   .	   .	
4	1	kids_cat4	2	covidadmission	male	0	1.00	   .	   .	   .
4	1	kids_cat4	2	covidadmission	male	1	1.00	   .	   .	
4	1	kids_cat4	2	covidadmission	shield	0	1.00	   .	   .	   .
4	1	kids_cat4	2	covidadmission	shield	1	1.00	   .	   .	
4	1	kids_cat4	3	covidadmission	male	0	1.00	   .	   .	   .
4	1	kids_cat4	3	covidadmission	male	1	1.00	   .	   .	
4	1	kids_cat4	3	covidadmission	shield	0	1.00	   .	   .	   .
4	1	kids_cat4	3	covidadmission	shield	1	1.00	   .	   .	

