sense	period	age	exposure	exposure level	outcome	HR	lci	uci
1stVaccCensor	1	1	kids_cat4	3	covidadmission	0.73	0.25	2.14	140700
2ndVaccCensor	1	1	kids_cat4	3	covidadmission	1.29	0.84	1.98	2553591
11thJuneCensor	1	1	kids_cat4	1	covid_death	0.50	0.16	1.63	2732304
1stVaccCensor	1	1	kids_cat4	1	covid_death	0.17	0.02	1.25	142326
2ndVaccCensor	1	1	kids_cat4	1	covid_death	0.86	0.55	1.33	2559963
11thJuneCensor	1	1	kids_cat4	2	covid_death	3.14	1.70	5.83	2732304
1stVaccCensor	1	1	kids_cat4	2	covid_death	1.93	0.86	4.32	142326
2ndVaccCensor	1	1	kids_cat4	2	covid_death	1.41	0.94	2.10	2559963
11thJuneCensor	1	1	kids_cat4	3	covid_death	1.65	0.61	4.46	2732304
1stVaccCensor	1	1	kids_cat4	3	covid_death	0.68	0.16	2.87	142326
2ndVaccCensor	1	1	kids_cat4	3	covid_death	1.24	0.72	2.14	2559963
11thJuneCensor	2	0	kids_cat4	1	covid_tpp_prob	1.03	1.02	1.05	8684339
1stVaccCensor	2	0	kids_cat4	1	covid_tpp_prob	1.04	1.02	1.05	3513466
2ndVaccCensor	2	0	kids_cat4	1	covid_tpp_prob	1.18	1.17	1.20	6639018
11thJuneCensor	2	0	kids_cat4	2	covid_tpp_prob	1.31	1.28	1.33	8684339
1stVaccCensor	2	0	kids_cat4	2	covid_tpp_prob	1.19	1.16	1.21	3513466
2ndVaccCensor	2	0	kids_cat4	2	covid_tpp_prob	1.49	1.47	1.51	6639018
11thJuneCensor	2	0	kids_cat4	3	covid_tpp_prob	1.29	1.26	1.32	8684339
1stVaccCensor	2	0	kids_cat4	3	covid_tpp_prob	1.19	1.16	1.21	3513466
2ndVaccCensor	2	0	kids_cat4	3	covid_tpp_prob	1.55	1.53	1.58	6639018
11thJuneCensor	2	0	kids_cat4	1	covidadmission	1.38	1.23	1.54	9005557
1stVaccCensor	2	0	kids_cat4	1	covidadmission	1.37	1.22	1.54	3375105
2ndVaccCensor	2	0	kids_cat4	1	covidadmission	1.31	1.17	1.46	6330741
11thJuneCensor	2	0	kids_cat4	2	covidadmission	1.33	1.15	1.52	9005557
1stVaccCensor	2	0	kids_cat4	2	covidadmission	1.32	1.12	1.55	3375105
2ndVaccCensor	2	0	kids_cat4	2	covidadmission	1.27	1.10	1.48	6330741
11thJuneCensor	2	0	kids_cat4	3	covidadmission	1.73	1.51	1.98	9005557
1stVaccCensor	2	0	kids_cat4	3	covidadmission	1.61	1.39	1.87	3375105
2ndVaccCensor	2	0	kids_cat4	3	covidadmission	1.60	1.40	1.84	6330741
11thJuneCensor	2	0	kids_cat4	1	covid_death	1.07	0.57	2.01	9016578
1stVaccCensor	2	0	kids_cat4	1	covid_death	1.12	0.59	2.14	3377655
2ndVaccCensor	2	0	kids_cat4	1	covid_death	0.94	0.52	1.69	6337920
11thJuneCensor	2	0	kids_cat4	2	covid_death	1.32	0.75	2.33	9016578
1stVaccCensor	2	0	kids_cat4	2	covid_death	1.41	0.72	2.78	3377655
2ndVaccCensor	2	0	kids_cat4	2	covid_death	0.94	0.51	1.75	6337920
11thJuneCensor	2	0	kids_cat4	3	covid_death	0.74	0.30	1.82	9016578
1stVaccCensor	2	0	kids_cat4	3	covid_death	0.63	0.22	1.86	3377655
2ndVaccCensor	2	0	kids_cat4	3	covid_death	0.88	0.40	1.91	6337920
11thJuneCensor	2	1	kids_cat4	1	covid_tpp_prob	1.33	1.14	1.56	2673789
1stVaccCensor	2	1	kids_cat4	1	covid_tpp_prob	0.64	0.42	0.97	103106
2ndVaccCensor	2	1	kids_cat4	1	covid_tpp_prob	0.82	0.66	1.03	222501
11thJuneCensor	2	1	kids_cat4	2	covid_tpp_prob	1.47	1.24	1.75	2673789
1stVaccCensor	2	1	kids_cat4	2	covid_tpp_prob	1.08	0.69	1.69	103106
2ndVaccCensor	2	1	kids_cat4	2	covid_tpp_prob	0.90	0.68	1.20	222501
11thJuneCensor	2	1	kids_cat4	3	covid_tpp_prob	1.46	1.16	1.83	2673789
1stVaccCensor	2	1	kids_cat4	3	covid_tpp_prob	0.82	0.48	1.39	103106
2ndVaccCensor	2	1	kids_cat4	3	covid_tpp_prob	0.84	0.61	1.15	222501
11thJuneCensor	2	1	kids_cat4	1	covidadmission	1.56	1.06	2.28	2704966
1stVaccCensor	2	1	kids_cat4	1	covidadmission	0.74	0.39	1.39	103243
2ndVaccCensor	2	1	kids_cat4	1	covidadmission	0.97	0.57	1.64	186682
11thJuneCensor	2	1	kids_cat4	2	covidadmission	2.23	1.55	3.21	2704966
1stVaccCensor	2	1	kids_cat4	2	covidadmission	1.27	0.68	2.37	103243
2ndVaccCensor	2	1	kids_cat4	2	covidadmission	1.75	1.05	2.91	186682
11thJuneCensor	2	1	kids_cat4	3	covidadmission	1.34	0.74	2.46	2704966
1stVaccCensor	2	1	kids_cat4	3	covidadmission	0.77	0.30	1.97	103243
2ndVaccCensor	2	1	kids_cat4	3	covidadmission	0.94	0.45	1.98	186682
11thJuneCensor	2	1	kids_cat4	1	covid_death	0.78	0.34	1.78	2711409
1stVaccCensor	2	1	kids_cat4	1	covid_death	0.77	0.26	2.27	103765
2ndVaccCensor	2	1	kids_cat4	1	covid_death	0.57	0.20	1.56	188665
11thJuneCensor	2	1	kids_cat4	2	covid_death	1.35	0.64	2.88	2711409
1stVaccCensor	2	1	kids_cat4	2	covid_death	1.40	0.46	4.28	103765
2ndVaccCensor	2	1	kids_cat4	2	covid_death	1.25	0.49	3.18	188665
11thJuneCensor	2	1	kids_cat4	3	covid_death	0.53	0.13	2.14	2711409
1stVaccCensor	2	1	kids_cat4	3	covid_death	0.38	0.04	3.28	103765
2ndVaccCensor	2	1	kids_cat4	3	covid_death	0.28	0.04	1.98	188665
11thJuneCensor	3	0	kids_cat4	1	covid_tpp_prob	1.23	1.21	1.25	8479994
1stVaccCensor	3	0	kids_cat4	1	covid_tpp_prob	1.23	1.20	1.26	1937620
2ndVaccCensor	3	0	kids_cat4	1	covid_tpp_prob	1.21	1.19	1.23	3482745
11thJuneCensor	3	0	kids_cat4	2	covid_tpp_prob	1.37	1.35	1.40	8479994
1stVaccCensor	3	0	kids_cat4	2	covid_tpp_prob	1.40	1.35	1.44	1937620
2ndVaccCensor	3	0	kids_cat4	2	covid_tpp_prob	1.31	1.28	1.35	3482745
11thJuneCensor	3	0	kids_cat4	3	covid_tpp_prob	1.48	1.45	1.51	8479994
1stVaccCensor	3	0	kids_cat4	3	covid_tpp_prob	1.39	1.34	1.43	1937620
2ndVaccCensor	3	0	kids_cat4	3	covid_tpp_prob	1.42	1.39	1.46	3482745
11thJuneCensor	3	0	kids_cat4	1	covidadmission	1.40	1.21	1.62	8942745
1stVaccCensor	3	0	kids_cat4	1	covidadmission	1.30	1.10	1.53	2009072
2ndVaccCensor	3	0	kids_cat4	1	covidadmission	1.31	1.12	1.54	3527620
11thJuneCensor	3	0	kids_cat4	2	covidadmission	1.44	1.21	1.71	8942745
1stVaccCensor	3	0	kids_cat4	2	covidadmission	1.42	1.14	1.76	2009072
2ndVaccCensor	3	0	kids_cat4	2	covidadmission	1.44	1.18	1.77	3527620
11thJuneCensor	3	0	kids_cat4	3	covidadmission	1.42	1.17	1.71	8942745
1stVaccCensor	3	0	kids_cat4	3	covidadmission	1.30	1.05	1.62	2009072
2ndVaccCensor	3	0	kids_cat4	3	covidadmission	1.35	1.10	1.66	3527620
11thJuneCensor	3	0	kids_cat4	1	covid_death	0.54	0.34	0.85	8956036
1stVaccCensor	3	0	kids_cat4	1	covid_death	0.35	0.19	0.65	2012182
2ndVaccCensor	3	0	kids_cat4	1	covid_death	0.37	0.21	0.66	3532390
11thJuneCensor	3	0	kids_cat4	2	covid_death	0.83	0.56	1.25	8956036
1stVaccCensor	3	0	kids_cat4	2	covid_death	0.70	0.40	1.22	2012182
2ndVaccCensor	3	0	kids_cat4	2	covid_death	0.79	0.47	1.31	3532390
11thJuneCensor	3	0	kids_cat4	3	covid_death	0.68	0.39	1.19	8956036
1stVaccCensor	3	0	kids_cat4	3	covid_death	0.37	0.17	0.82	2012182
2ndVaccCensor	3	0	kids_cat4	3	covid_death	0.38	0.18	0.81	3532390
11thJuneCensor	3	1	kids_cat4	1	covid_tpp_prob	1.16	1.04	1.29	2646312
1stVaccCensor	3	1	kids_cat4	1	covid_tpp_prob	0.79	0.57	1.10	94133
2ndVaccCensor	3	1	kids_cat4	1	covid_tpp_prob	0.86	0.64	1.15	124136
11thJuneCensor	3	1	kids_cat4	2	covid_tpp_prob	1.41	1.25	1.59	2646312
1stVaccCensor	3	1	kids_cat4	2	covid_tpp_prob	1.23	0.87	1.75	94133
2ndVaccCensor	3	1	kids_cat4	2	covid_tpp_prob	1.16	0.84	1.61	124136
11thJuneCensor	3	1	kids_cat4	3	covid_tpp_prob	1.26	1.07	1.48	2646312
1stVaccCensor	3	1	kids_cat4	3	covid_tpp_prob	0.86	0.54	1.37	94133
2ndVaccCensor	3	1	kids_cat4	3	covid_tpp_prob	0.82	0.54	1.25	124136
11thJuneCensor	3	1	kids_cat4	1	covidadmission	1.56	1.03	2.34	2684025
1stVaccCensor	3	1	kids_cat4	1	covidadmission	1.18	0.62	2.27	94935
2ndVaccCensor	3	1	kids_cat4	1	covidadmission	1.55	0.85	2.85	125254
11thJuneCensor	3	1	kids_cat4	2	covidadmission	2.61	1.77	3.85	2684025
1stVaccCensor	3	1	kids_cat4	2	covidadmission	1.93	0.97	3.86	94935
2ndVaccCensor	3	1	kids_cat4	2	covidadmission	2.07	1.04	4.11	125254
11thJuneCensor	3	1	kids_cat4	3	covidadmission	1.35	0.72	2.50	2684025
1stVaccCensor	3	1	kids_cat4	3	covidadmission	0.67	0.20	2.24	94935
2ndVaccCensor	3	1	kids_cat4	3	covidadmission	0.65	0.20	2.17	125254
11thJuneCensor	3	1	kids_cat4	1	covid_death	1.64	1.10	2.44	2691046
1stVaccCensor	3	1	kids_cat4	1	covid_death	1.20	0.66	2.21	95443
2ndVaccCensor	3	1	kids_cat4	1	covid_death	1.34	0.75	2.42	126146
11thJuneCensor	3	1	kids_cat4	2	covid_death	1.82	1.19	2.78	2691046
1stVaccCensor	3	1	kids_cat4	2	covid_death	1.45	0.74	2.86	95443
2ndVaccCensor	3	1	kids_cat4	2	covid_death	1.47	0.75	2.88	126146
11thJuneCensor	3	1	kids_cat4	3	covid_death	2.15	1.29	3.59	2691046
1stVaccCensor	3	1	kids_cat4	3	covid_death	1.59	0.75	3.37	95443
2ndVaccCensor	3	1	kids_cat4	3	covid_death	1.64	0.79	3.43	126146
11thJuneCensor	4	0	kids_cat4	1	covid_tpp_prob	1.91	1.87	1.94	8270783
1stVaccCensor	4	0	kids_cat4	1	covid_tpp_prob	1.71	1.64	1.77	1731484
2ndVaccCensor	4	0	kids_cat4	1	covid_tpp_prob	1.65	1.60	1.71	2297668
11thJuneCensor	4	0	kids_cat4	2	covid_tpp_prob	1.95	1.91	1.99	8270783
1stVaccCensor	4	0	kids_cat4	2	covid_tpp_prob	1.89	1.79	1.99	1731484
2ndVaccCensor	4	0	kids_cat4	2	covid_tpp_prob	1.81	1.73	1.90	2297668
11thJuneCensor	4	0	kids_cat4	3	covid_tpp_prob	2.81	2.75	2.87	8270783
1stVaccCensor	4	0	kids_cat4	3	covid_tpp_prob	2.38	2.27	2.49	1731484
2ndVaccCensor	4	0	kids_cat4	3	covid_tpp_prob	2.31	2.22	2.41	2297668
11thJuneCensor	4	0	kids_cat4	1	covidadmission	1.00	   .	   .	8881930
1stVaccCensor	4	0	kids_cat4	1	covidadmission	1.00	   .	   .	1836384
2ndVaccCensor	4	0	kids_cat4	1	covidadmission	1.00	   .	   .	2394971
11thJuneCensor	4	0	kids_cat4	2	covidadmission	1.00	   .	   .	8881930
1stVaccCensor	4	0	kids_cat4	2	covidadmission	1.00	   .	   .	1836384
2ndVaccCensor	4	0	kids_cat4	2	covidadmission	1.00	   .	   .	2394971
11thJuneCensor	4	0	kids_cat4	3	covidadmission	1.00	   .	   .	8881930
1stVaccCensor	4	0	kids_cat4	3	covidadmission	1.00	   .	   .	1836384
2ndVaccCensor	4	0	kids_cat4	3	covidadmission	1.00	   .	   .	2394971
11thJuneCensor	4	0	kids_cat4	1	covid_death	1.20	0.57	2.52	8896466
1stVaccCensor	4	0	kids_cat4	1	covid_death	0.94	0.39	2.30	1839927
2ndVaccCensor	4	0	kids_cat4	1	covid_death	0.86	0.36	2.05	2399649
11thJuneCensor	4	0	kids_cat4	2	covid_death	1.38	0.64	3.00	8896466
1stVaccCensor	4	0	kids_cat4	2	covid_death	1.39	0.51	3.83	1839927
2ndVaccCensor	4	0	kids_cat4	2	covid_death	1.22	0.45	3.33	2399649
11thJuneCensor	4	0	kids_cat4	3	covid_death	1.92	0.85	4.35	8896466
1stVaccCensor	4	0	kids_cat4	3	covid_death	1.56	0.62	3.96	1839927
2ndVaccCensor	4	0	kids_cat4	3	covid_death	1.40	0.56	3.49	2399649
11thJuneCensor	4	1	kids_cat4	1	covid_tpp_prob	1.49	1.32	1.68	2614401
1stVaccCensor	4	1	kids_cat4	1	covid_tpp_prob	0.99	0.64	1.53	90287
2ndVaccCensor	4	1	kids_cat4	1	covid_tpp_prob	0.94	0.63	1.41	115606
11thJuneCensor	4	1	kids_cat4	2	covid_tpp_prob	1.58	1.38	1.80	2614401
1stVaccCensor	4	1	kids_cat4	2	covid_tpp_prob	1.45	0.87	2.40	90287
2ndVaccCensor	4	1	kids_cat4	2	covid_tpp_prob	1.38	0.87	2.21	115606
11thJuneCensor	4	1	kids_cat4	3	covid_tpp_prob	1.62	1.35	1.95	2614401
1stVaccCensor	4	1	kids_cat4	3	covid_tpp_prob	1.20	0.67	2.13	90287
2ndVaccCensor	4	1	kids_cat4	3	covid_tpp_prob	1.13	0.66	1.93	115606
11thJuneCensor	4	1	kids_cat4	1	covidadmission	1.00	   .	   .	2663681
1stVaccCensor	4	1	kids_cat4	1	covidadmission	1.00	   .	   .	91026
2ndVaccCensor	4	1	kids_cat4	1	covidadmission	1.00	   .	   .	116911
11thJuneCensor	4	1	kids_cat4	2	covidadmission	1.00	   .	   .	2663681
1stVaccCensor	4	1	kids_cat4	2	covidadmission	1.00	   .	   .	91026
2ndVaccCensor	4	1	kids_cat4	2	covidadmission	1.00	   .	   .	116911
11thJuneCensor	4	1	kids_cat4	3	covidadmission	1.00	   .	   .	2663681
1stVaccCensor	4	1	kids_cat4	3	covidadmission	1.00	   .	   .	91026
2ndVaccCensor	4	1	kids_cat4	3	covidadmission	1.00	   .	   .	116911
11thJuneCensor	4	1	kids_cat4	1	covid_death	3.04	1.43	6.45	2671036
1stVaccCensor	4	1	kids_cat4	1	covid_death	3.82	0.97	15.09	91552
2ndVaccCensor	4	1	kids_cat4	1	covid_death	3.07	0.83	11.33	117712
11thJuneCensor	4	1	kids_cat4	2	covid_death	1.69	0.61	4.69	2671036
1stVaccCensor	4	1	kids_cat4	2	covid_death	0.00	0.00	0.00	91552
2ndVaccCensor	4	1	kids_cat4	2	covid_death	0.00	0.00	0.00	117712
11thJuneCensor	4	1	kids_cat4	3	covid_death	4.20	1.55	11.38	2671036
1stVaccCensor	4	1	kids_cat4	3	covid_death	0.00	0.00	0.00	91552
2ndVaccCensor	4	1	kids_cat4	3	covid_death	0.00	0.00	0.00	117712

