sense	period	age	exposure	exposure level	outcome	HR	lci	uci
11thJuneCensor	0	0	kids_cat4	1	covid_tpp_prob	1.20	1.18	1.21	9173250
1stVaccCensor	0	0	kids_cat4	1	covid_tpp_prob	1.23	1.21	1.24	9163343
2ndVaccCensor	0	0	kids_cat4	1	covid_tpp_prob	1.20	1.18	1.21	9173250
11thJuneCensor	0	0	kids_cat4	2	covid_tpp_prob	1.17	1.15	1.18	9173250
1stVaccCensor	0	0	kids_cat4	2	covid_tpp_prob	1.27	1.26	1.29	9163343
2ndVaccCensor	0	0	kids_cat4	2	covid_tpp_prob	1.17	1.15	1.19	9173250
11thJuneCensor	0	0	kids_cat4	3	covid_tpp_prob	1.21	1.19	1.23	9173250
1stVaccCensor	0	0	kids_cat4	3	covid_tpp_prob	1.36	1.34	1.37	9163343
2ndVaccCensor	0	0	kids_cat4	3	covid_tpp_prob	1.22	1.20	1.23	9173250
11thJuneCensor	0	0	kids_cat4	1	covidadmission	1.15	1.08	1.22	9173203
1stVaccCensor	0	0	kids_cat4	1	covidadmission	1.14	1.08	1.21	9163296
2ndVaccCensor	0	0	kids_cat4	1	covidadmission	1.14	1.08	1.21	9173203
11thJuneCensor	0	0	kids_cat4	2	covidadmission	1.15	1.08	1.23	9173203
1stVaccCensor	0	0	kids_cat4	2	covidadmission	1.18	1.11	1.26	9163296
2ndVaccCensor	0	0	kids_cat4	2	covidadmission	1.16	1.08	1.23	9173203
11thJuneCensor	0	0	kids_cat4	3	covidadmission	1.18	1.10	1.27	9173203
1stVaccCensor	0	0	kids_cat4	3	covidadmission	1.18	1.10	1.27	9163296
2ndVaccCensor	0	0	kids_cat4	3	covidadmission	1.18	1.10	1.28	9173203
11thJuneCensor	0	0	kids_cat4	1	covid_death	0.81	0.66	0.98	9173250
1stVaccCensor	0	0	kids_cat4	1	covid_death	0.79	0.66	0.95	9163343
2ndVaccCensor	0	0	kids_cat4	1	covid_death	0.82	0.68	1.00	9173250
11thJuneCensor	0	0	kids_cat4	2	covid_death	0.81	0.67	0.99	9173250
1stVaccCensor	0	0	kids_cat4	2	covid_death	0.85	0.71	1.02	9163343
2ndVaccCensor	0	0	kids_cat4	2	covid_death	0.81	0.66	0.98	9173250
11thJuneCensor	0	0	kids_cat4	3	covid_death	0.69	0.52	0.91	9173250
1stVaccCensor	0	0	kids_cat4	3	covid_death	0.73	0.56	0.94	9163343
2ndVaccCensor	0	0	kids_cat4	3	covid_death	0.69	0.52	0.91	9173250
11thJuneCensor	0	1	kids_cat4	1	covid_tpp_prob	1.24	1.16	1.32	2773448
1stVaccCensor	0	1	kids_cat4	1	covid_tpp_prob	1.12	1.06	1.17	2767611
2ndVaccCensor	0	1	kids_cat4	1	covid_tpp_prob	1.24	1.16	1.32	2773448
11thJuneCensor	0	1	kids_cat4	2	covid_tpp_prob	1.15	1.06	1.24	2773448
1stVaccCensor	0	1	kids_cat4	2	covid_tpp_prob	1.10	1.04	1.16	2767611
2ndVaccCensor	0	1	kids_cat4	2	covid_tpp_prob	1.14	1.06	1.23	2773448
11thJuneCensor	0	1	kids_cat4	3	covid_tpp_prob	1.19	1.08	1.31	2773448
1stVaccCensor	0	1	kids_cat4	3	covid_tpp_prob	1.04	0.97	1.12	2767611
2ndVaccCensor	0	1	kids_cat4	3	covid_tpp_prob	1.18	1.07	1.30	2773448
11thJuneCensor	0	1	kids_cat4	1	covidadmission	1.22	1.08	1.39	2773386
1stVaccCensor	0	1	kids_cat4	1	covidadmission	1.15	1.02	1.30	2767550
2ndVaccCensor	0	1	kids_cat4	1	covidadmission	1.21	1.06	1.37	2773386
11thJuneCensor	0	1	kids_cat4	2	covidadmission	1.25	1.08	1.45	2773386
1stVaccCensor	0	1	kids_cat4	2	covidadmission	1.23	1.08	1.40	2767550
2ndVaccCensor	0	1	kids_cat4	2	covidadmission	1.26	1.10	1.46	2773386
11thJuneCensor	0	1	kids_cat4	3	covidadmission	1.17	0.97	1.42	2773386
1stVaccCensor	0	1	kids_cat4	3	covidadmission	1.09	0.91	1.30	2767550
2ndVaccCensor	0	1	kids_cat4	3	covidadmission	1.16	0.96	1.40	2773386
11thJuneCensor	0	1	kids_cat4	1	covid_death	1.12	0.94	1.34	2773448
1stVaccCensor	0	1	kids_cat4	1	covid_death	0.98	0.83	1.15	2767611
2ndVaccCensor	0	1	kids_cat4	1	covid_death	1.11	0.93	1.32	2773448
11thJuneCensor	0	1	kids_cat4	2	covid_death	0.95	0.77	1.18	2773448
1stVaccCensor	0	1	kids_cat4	2	covid_death	0.90	0.75	1.09	2767611
2ndVaccCensor	0	1	kids_cat4	2	covid_death	0.99	0.80	1.22	2773448
11thJuneCensor	0	1	kids_cat4	3	covid_death	0.99	0.75	1.32	2773448
1stVaccCensor	0	1	kids_cat4	3	covid_death	0.89	0.69	1.15	2767611
2ndVaccCensor	0	1	kids_cat4	3	covid_death	1.02	0.77	1.35	2773448
11thJuneCensor	1	0	kids_cat4	1	covid_tpp_prob	1.43	1.38	1.47	8770598
1stVaccCensor	1	0	kids_cat4	1	covid_tpp_prob	1.39	1.37	1.41	6311392
2ndVaccCensor	1	0	kids_cat4	1	covid_tpp_prob	1.34	1.32	1.37	8695361
11thJuneCensor	1	0	kids_cat4	2	covid_tpp_prob	1.31	1.26	1.37	8770598
1stVaccCensor	1	0	kids_cat4	2	covid_tpp_prob	1.63	1.61	1.66	6311392
2ndVaccCensor	1	0	kids_cat4	2	covid_tpp_prob	1.52	1.49	1.55	8695361
11thJuneCensor	1	0	kids_cat4	3	covid_tpp_prob	1.63	1.56	1.70	8770598
1stVaccCensor	1	0	kids_cat4	3	covid_tpp_prob	1.81	1.77	1.84	6311392
2ndVaccCensor	1	0	kids_cat4	3	covid_tpp_prob	1.74	1.70	1.78	8695361
11thJuneCensor	1	0	kids_cat4	1	covidadmission	1.87	1.56	2.24	9065109
1stVaccCensor	1	0	kids_cat4	1	covidadmission	1.56	1.33	1.83	6035668
2ndVaccCensor	1	0	kids_cat4	1	covidadmission	1.56	1.35	1.81	8944922
11thJuneCensor	1	0	kids_cat4	2	covidadmission	1.37	1.09	1.73	9065109
1stVaccCensor	1	0	kids_cat4	2	covidadmission	1.37	1.13	1.67	6035668
2ndVaccCensor	1	0	kids_cat4	2	covidadmission	1.47	1.24	1.73	8944922
11thJuneCensor	1	0	kids_cat4	3	covidadmission	1.80	1.43	2.25	9065109
1stVaccCensor	1	0	kids_cat4	3	covidadmission	1.65	1.35	2.00	6035668
2ndVaccCensor	1	0	kids_cat4	3	covidadmission	1.53	1.27	1.85	8944922
11thJuneCensor	1	0	kids_cat4	1	covid_death	2.04	1.04	3.99	9075424
1stVaccCensor	1	0	kids_cat4	1	covid_death	1.32	0.71	2.45	6041577
2ndVaccCensor	1	0	kids_cat4	1	covid_death	1.17	0.72	1.90	8955181
11thJuneCensor	1	0	kids_cat4	2	covid_death	2.01	1.08	3.76	9075424
1stVaccCensor	1	0	kids_cat4	2	covid_death	1.57	0.86	2.87	6041577
2ndVaccCensor	1	0	kids_cat4	2	covid_death	1.62	1.09	2.42	8955181
11thJuneCensor	1	0	kids_cat4	3	covid_death	1.66	0.68	4.08	9075424
1stVaccCensor	1	0	kids_cat4	3	covid_death	1.28	0.59	2.78	6041577
2ndVaccCensor	1	0	kids_cat4	3	covid_death	1.28	0.69	2.36	8955181
11thJuneCensor	1	1	kids_cat4	1	covid_tpp_prob	1.64	1.30	2.06	2695356
1stVaccCensor	1	1	kids_cat4	1	covid_tpp_prob	0.85	0.63	1.16	152483
2ndVaccCensor	1	1	kids_cat4	1	covid_tpp_prob	1.09	1.01	1.18	2568075
11thJuneCensor	1	1	kids_cat4	2	covid_tpp_prob	1.37	1.03	1.82	2695356
1stVaccCensor	1	1	kids_cat4	2	covid_tpp_prob	1.04	0.73	1.47	152483
2ndVaccCensor	1	1	kids_cat4	2	covid_tpp_prob	1.22	1.12	1.32	2568075
11thJuneCensor	1	1	kids_cat4	3	covid_tpp_prob	1.89	1.38	2.59	2695356
1stVaccCensor	1	1	kids_cat4	3	covid_tpp_prob	0.93	0.63	1.39	152483
2ndVaccCensor	1	1	kids_cat4	3	covid_tpp_prob	1.09	0.97	1.23	2568075
11thJuneCensor	1	1	kids_cat4	1	covidadmission	0.88	0.44	1.78	2725748
1stVaccCensor	1	1	kids_cat4	1	covidadmission	0.64	0.27	1.52	140700
2ndVaccCensor	1	1	kids_cat4	1	covidadmission	1.04	0.74	1.46	2553591
11thJuneCensor	1	1	kids_cat4	2	covidadmission	1.49	0.76	2.89	2725748
1stVaccCensor	1	1	kids_cat4	2	covidadmission	1.19	0.54	2.63	140700
2ndVaccCensor	1	1	kids_cat4	2	covidadmission	1.52	1.09	2.13	2553591
11thJuneCensor	1	1	kids_cat4	3	covidadmission	2.28	1.20	4.33	2725748
